GeoFips,GeoName,Year,BEA Population
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1932,
,,1932,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1932,
0,United States,1933,125580000
1000,Alabama,1933,2661000
2000,Alaska ,1933,
4000,Arizona,1933,426000
5000,Arkansas,1933,1854000
6000,California,1933,5963000
8000,Colorado,1933,1071000
9000,Connecticut,1933,1642000
10000,Delaware,1933,248000
11000,District of Columbia,1933,529000
12000,Florida,1933,1552000
13000,Georgia,1933,2950000
15000,Hawaii ,1933,
16000,Idaho,1933,464000
17000,Illinois,1933,7768000
18000,Indiana,1933,3304000
19000,Iowa,1933,2495000
20000,Kansas,1933,1877000
21000,Kentucky,1933,2698000
22000,Louisiana,1933,2178000
23000,Maine,1933,821000
24000,Maryland,1933,1694000
25000,Massachusetts,1933,4282000
26000,Michigan,1933,4780000
27000,Minnesota,1933,2673000
28000,Mississippi,1933,2031000
29000,Missouri,1933,3773000
30000,Montana,1933,541000
31000,Nebraska,1933,1385000
32000,Nevada,1933,96000
33000,New Hampshire,1933,477000
34000,New Jersey,1933,4107000
35000,New Mexico,1933,449000
36000,New York,1933,13126000
37000,North Carolina,1933,3268000
38000,North Dakota,1933,674000
39000,Ohio,1933,6740000
40000,Oklahoma,1933,2392000
41000,Oregon,1933,978000
42000,Pennsylvania,1933,9784000
44000,Rhode Island,1933,675000
45000,South Carolina,1933,1752000
46000,South Dakota,1933,690000
47000,Tennessee,1933,2747000
48000,Texas,1933,6014000
49000,Utah,1933,520000
50000,Vermont,1933,357000
51000,Virginia,1933,2460000
53000,Washington,1933,1592000
54000,West Virginia,1933,1752000
55000,Wisconsin,1933,3040000
56000,Wyoming,1933,230000
91000,New England,1933,8254000
92000,Mideast,1933,29488000
93000,Great Lakes,1933,25632000
94000,Plains,1933,13567000
95000,Southeast,1933,27903000
96000,Southwest,1933,9281000
97000,Rocky Mountain,1933,2826000
98000,Far West,1933,8629000
Legend / Footnotes:,,1933,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1933,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1933,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1933,
,,1933,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1933,
0,United States,1934,126372000
1000,Alabama,1934,2685000
2000,Alaska ,1934,
4000,Arizona,1934,428000
5000,Arkansas,1934,1878000
6000,California,1934,6060000
8000,Colorado,1934,1075000
9000,Connecticut,1934,1650000
10000,Delaware,1934,250000
11000,District of Columbia,1934,568000
12000,Florida,1934,1585000
13000,Georgia,1934,2964000
15000,Hawaii ,1934,
16000,Idaho,1934,473000
17000,Illinois,1934,7772000
18000,Indiana,1934,3319000
19000,Iowa,1934,2510000
20000,Kansas,1934,1868000
21000,Kentucky,1934,2722000
22000,Louisiana,1934,2202000
23000,Maine,1934,829000
24000,Maryland,1934,1710000
25000,Massachusetts,1934,4305000
26000,Michigan,1934,4798000
27000,Minnesota,1934,2695000
28000,Mississippi,1934,2050000
29000,Missouri,1934,3784000
30000,Montana,1934,545000
31000,Nebraska,1934,1382000
32000,Nevada,1934,98000
33000,New Hampshire,1934,480000
34000,New Jersey,1934,4089000
35000,New Mexico,1934,461000
36000,New York,1934,13253000
37000,North Carolina,1934,3304000
38000,North Dakota,1934,672000
39000,Ohio,1934,6751000
40000,Oklahoma,1934,2391000
41000,Oregon,1934,985000
42000,Pennsylvania,1934,9795000
44000,Rhode Island,1934,675000
45000,South Carolina,1934,1760000
46000,South Dakota,1934,682000
47000,Tennessee,1934,2784000
48000,Texas,1934,6053000
49000,Utah,1934,522000
50000,Vermont,1934,357000
51000,Virginia,1934,2485000
53000,Washington,1934,1610000
54000,West Virginia,1934,1771000
55000,Wisconsin,1934,3054000
56000,Wyoming,1934,233000
91000,New England,1934,8296000
92000,Mideast,1934,29665000
93000,Great Lakes,1934,25694000
94000,Plains,1934,13593000
95000,Southeast,1934,28190000
96000,Southwest,1934,9333000
97000,Rocky Mountain,1934,2848000
98000,Far West,1934,8753000
Legend / Footnotes:,,1934,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1934,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1934,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1934,
,,1934,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1934,
0,United States,1935,127251000
1000,Alabama,1935,2719000
2000,Alaska ,1935,
4000,Arizona,1935,434000
5000,Arkansas,1935,1890000
6000,California,1935,6175000
8000,Colorado,1935,1078000
9000,Connecticut,1935,1666000
10000,Delaware,1935,252000
11000,District of Columbia,1935,608000
12000,Florida,1935,1613000
13000,Georgia,1935,2955000
15000,Hawaii ,1935,
16000,Idaho,1935,481000
17000,Illinois,1935,7797000
18000,Indiana,1935,3332000
19000,Iowa,1935,2524000
20000,Kansas,1935,1872000
21000,Kentucky,1935,2748000
22000,Louisiana,1935,2228000
23000,Maine,1935,836000
24000,Maryland,1935,1729000
25000,Massachusetts,1935,4343000
26000,Michigan,1935,4838000
27000,Minnesota,1935,2717000
28000,Mississippi,1935,2061000
29000,Missouri,1935,3798000
30000,Montana,1935,550000
31000,Nebraska,1935,1375000
32000,Nevada,1935,100000
33000,New Hampshire,1935,481000
34000,New Jersey,1935,4085000
35000,New Mexico,1935,475000
36000,New York,1935,13375000
37000,North Carolina,1935,3323000
38000,North Dakota,1935,670000
39000,Ohio,1935,6787000
40000,Oklahoma,1935,2386000
41000,Oregon,1935,1001000
42000,Pennsylvania,1935,9774000
44000,Rhode Island,1935,678000
45000,South Carolina,1935,1769000
46000,South Dakota,1935,674000
47000,Tennessee,1935,2798000
48000,Texas,1935,6123000
49000,Utah,1935,526000
50000,Vermont,1935,357000
51000,Virginia,1935,2520000
53000,Washington,1935,1629000
54000,West Virginia,1935,1794000
55000,Wisconsin,1935,3070000
56000,Wyoming,1935,237000
91000,New England,1935,8361000
92000,Mideast,1935,29823000
93000,Great Lakes,1935,25824000
94000,Plains,1935,13630000
95000,Southeast,1935,28418000
96000,Southwest,1935,9418000
97000,Rocky Mountain,1935,2872000
98000,Far West,1935,8905000
Legend / Footnotes:,,1935,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1935,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1935,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1935,
,,1935,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1935,
0,United States,1936,128054000
1000,Alabama,1936,2743000
2000,Alaska ,1936,
4000,Arizona,1936,443000
5000,Arkansas,1936,1892000
6000,California,1936,6341000
8000,Colorado,1936,1090000
9000,Connecticut,1936,1672000
10000,Delaware,1936,253000
11000,District of Columbia,1936,629000
12000,Florida,1936,1651000
13000,Georgia,1936,2978000
15000,Hawaii ,1936,
16000,Idaho,1936,495000
17000,Illinois,1936,7840000
18000,Indiana,1936,3348000
19000,Iowa,1936,2509000
20000,Kansas,1936,1869000
21000,Kentucky,1936,2768000
22000,Louisiana,1936,2246000
23000,Maine,1936,840000
24000,Maryland,1936,1745000
25000,Massachusetts,1936,4355000
26000,Michigan,1936,4889000
27000,Minnesota,1936,2734000
28000,Mississippi,1936,2072000
29000,Missouri,1936,3801000
30000,Montana,1936,554000
31000,Nebraska,1936,1358000
32000,Nevada,1936,101000
33000,New Hampshire,1936,481000
34000,New Jersey,1936,4084000
35000,New Mexico,1936,489000
36000,New York,1936,13481000
37000,North Carolina,1936,3346000
38000,North Dakota,1936,664000
39000,Ohio,1936,6801000
40000,Oklahoma,1936,2365000
41000,Oregon,1936,1025000
42000,Pennsylvania,1936,9767000
44000,Rhode Island,1936,686000
45000,South Carolina,1936,1781000
46000,South Dakota,1936,666000
47000,Tennessee,1936,2791000
48000,Texas,1936,6192000
49000,Utah,1936,527000
50000,Vermont,1936,357000
51000,Virginia,1936,2552000
53000,Washington,1936,1653000
54000,West Virginia,1936,1808000
55000,Wisconsin,1936,3082000
56000,Wyoming,1936,240000
91000,New England,1936,8391000
92000,Mideast,1936,29959000
93000,Great Lakes,1936,25960000
94000,Plains,1936,13601000
95000,Southeast,1936,28628000
96000,Southwest,1936,9489000
97000,Rocky Mountain,1936,2906000
98000,Far West,1936,9120000
Legend / Footnotes:,,1936,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1936,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1936,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1936,
,,1936,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1936,
0,United States,1937,128822000
1000,Alabama,1937,2762000
2000,Alaska ,1937,
4000,Arizona,1937,453000
5000,Arkansas,1937,1903000
6000,California,1937,6528000
8000,Colorado,1937,1104000
9000,Connecticut,1937,1678000
10000,Delaware,1937,254000
11000,District of Columbia,1937,616000
12000,Florida,1937,1709000
13000,Georgia,1937,3037000
15000,Hawaii ,1937,
16000,Idaho,1937,507000
17000,Illinois,1937,7857000
18000,Indiana,1937,3374000
19000,Iowa,1937,2498000
20000,Kansas,1937,1856000
21000,Kentucky,1937,2784000
22000,Louisiana,1937,2257000
23000,Maine,1937,842000
24000,Maryland,1937,1754000
25000,Massachusetts,1937,4358000
26000,Michigan,1937,4968000
27000,Minnesota,1937,2746000
28000,Mississippi,1937,2086000
29000,Missouri,1937,3794000
30000,Montana,1937,554000
31000,Nebraska,1937,1339000
32000,Nevada,1937,103000
33000,New Hampshire,1937,481000
34000,New Jersey,1937,4088000
35000,New Mexico,1937,503000
36000,New York,1937,13511000
37000,North Carolina,1937,3385000
38000,North Dakota,1937,655000
39000,Ohio,1937,6809000
40000,Oklahoma,1937,2334000
41000,Oregon,1937,1048000
42000,Pennsylvania,1937,9790000
44000,Rhode Island,1937,694000
45000,South Carolina,1937,1802000
46000,South Dakota,1937,656000
47000,Tennessee,1937,2795000
48000,Texas,1937,6250000
49000,Utah,1937,529000
50000,Vermont,1937,356000
51000,Virginia,1937,2590000
53000,Washington,1937,1681000
54000,West Virginia,1937,1813000
55000,Wisconsin,1937,3088000
56000,Wyoming,1937,243000
91000,New England,1937,8409000
92000,Mideast,1937,30013000
93000,Great Lakes,1937,26096000
94000,Plains,1937,13544000
95000,Southeast,1937,28923000
96000,Southwest,1937,9540000
97000,Rocky Mountain,1937,2937000
98000,Far West,1937,9360000
Legend / Footnotes:,,1937,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1937,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1937,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1937,
,,1937,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1937,
0,United States,1938,129825000
1000,Alabama,1938,2787000
2000,Alaska ,1938,
4000,Arizona,1938,466000
5000,Arkansas,1938,1928000
6000,California,1938,6656000
8000,Colorado,1938,1112000
9000,Connecticut,1938,1684000
10000,Delaware,1938,257000
11000,District of Columbia,1938,638000
12000,Florida,1938,1771000
13000,Georgia,1938,3091000
15000,Hawaii ,1938,
16000,Idaho,1938,513000
17000,Illinois,1938,7866000
18000,Indiana,1938,3386000
19000,Iowa,1938,2494000
20000,Kansas,1938,1842000
21000,Kentucky,1938,2800000
22000,Louisiana,1938,2285000
23000,Maine,1938,843000
24000,Maryland,1938,1766000
25000,Massachusetts,1938,4365000
26000,Michigan,1938,5056000
27000,Minnesota,1938,2753000
28000,Mississippi,1938,2127000
29000,Missouri,1938,3781000
30000,Montana,1938,552000
31000,Nebraska,1938,1326000
32000,Nevada,1938,105000
33000,New Hampshire,1938,485000
34000,New Jersey,1938,4100000
35000,New Mexico,1938,513000
36000,New York,1938,13512000
37000,North Carolina,1938,3440000
38000,North Dakota,1938,647000
39000,Ohio,1938,6837000
40000,Oklahoma,1938,2324000
41000,Oregon,1938,1067000
42000,Pennsylvania,1938,9952000
44000,Rhode Island,1938,694000
45000,South Carolina,1938,1834000
46000,South Dakota,1938,649000
47000,Tennessee,1938,2821000
48000,Texas,1938,6301000
49000,Utah,1938,535000
50000,Vermont,1938,356000
51000,Virginia,1938,2638000
53000,Washington,1938,1698000
54000,West Virginia,1938,1828000
55000,Wisconsin,1938,3098000
56000,Wyoming,1938,246000
91000,New England,1938,8427000
92000,Mideast,1938,30225000
93000,Great Lakes,1938,26243000
94000,Plains,1938,13492000
95000,Southeast,1938,29350000
96000,Southwest,1938,9604000
97000,Rocky Mountain,1938,2958000
98000,Far West,1938,9526000
Legend / Footnotes:,,1938,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1938,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1938,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1938,
,,1938,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1938,
0,United States,1939,130884000
1000,Alabama,1939,2814000
2000,Alaska ,1939,
4000,Arizona,1939,484000
5000,Arkansas,1939,1948000
6000,California,1939,6785000
8000,Colorado,1939,1120000
9000,Connecticut,1939,1696000
10000,Delaware,1939,263000
11000,District of Columbia,1939,658000
12000,Florida,1939,1836000
13000,Georgia,1939,3120000
15000,Hawaii ,1939,
16000,Idaho,1939,521000
17000,Illinois,1939,7890000
18000,Indiana,1939,3403000
19000,Iowa,1939,2520000
20000,Kansas,1939,1824000
21000,Kentucky,1939,2825000
22000,Louisiana,1939,2334000
23000,Maine,1939,846000
24000,Maryland,1939,1793000
25000,Massachusetts,1939,4347000
26000,Michigan,1939,5156000
27000,Minnesota,1939,2771000
28000,Mississippi,1939,2168000
29000,Missouri,1939,3783000
30000,Montana,1939,555000
31000,Nebraska,1939,1318000
32000,Nevada,1939,107000
33000,New Hampshire,1939,490000
34000,New Jersey,1939,4129000
35000,New Mexico,1939,523000
36000,New York,1939,13523000
37000,North Carolina,1939,3514000
38000,North Dakota,1939,644000
39000,Ohio,1939,6886000
40000,Oklahoma,1939,2333000
41000,Oregon,1939,1081000
42000,Pennsylvania,1939,9901000
44000,Rhode Island,1939,701000
45000,South Carolina,1939,1872000
46000,South Dakota,1939,645000
47000,Tennessee,1939,2874000
48000,Texas,1939,6360000
49000,Utah,1939,543000
50000,Vermont,1939,358000
51000,Virginia,1939,2670000
53000,Washington,1939,1715000
54000,West Virginia,1939,1868000
55000,Wisconsin,1939,3121000
56000,Wyoming,1939,248000
91000,New England,1939,8438000
92000,Mideast,1939,30267000
93000,Great Lakes,1939,26456000
94000,Plains,1939,13505000
95000,Southeast,1939,29843000
96000,Southwest,1939,9700000
97000,Rocky Mountain,1939,2987000
98000,Far West,1939,9688000
Legend / Footnotes:,,1939,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1939,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1939,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1939,
,,1939,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1939,
0,United States,1940,131955000
1000,Alabama,1940,2845000
2000,Alaska ,1940,
4000,Arizona,1940,499000
5000,Arkansas,1940,1955000
6000,California,1940,6950000
8000,Colorado,1940,1130000
9000,Connecticut,1940,1708000
10000,Delaware,1940,269000
11000,District of Columbia,1940,690000
12000,Florida,1940,1915000
13000,Georgia,1940,3119000
15000,Hawaii ,1940,
16000,Idaho,1940,522000
17000,Illinois,1940,7905000
18000,Indiana,1940,3433000
19000,Iowa,1940,2537000
20000,Kansas,1940,1788000
21000,Kentucky,1940,2859000
22000,Louisiana,1940,2370000
23000,Maine,1940,849000
24000,Maryland,1940,1839000
25000,Massachusetts,1940,4318000
26000,Michigan,1940,5315000
27000,Minnesota,1940,2790000
28000,Mississippi,1940,2176000
29000,Missouri,1940,3786000
30000,Montana,1940,558000
31000,Nebraska,1940,1316000
32000,Nevada,1940,113000
33000,New Hampshire,1940,492000
34000,New Jersey,1940,4175000
35000,New Mexico,1940,531000
36000,New York,1940,13456000
37000,North Carolina,1940,3574000
38000,North Dakota,1940,640000
39000,Ohio,1940,6929000
40000,Oklahoma,1940,2325000
41000,Oregon,1940,1086000
42000,Pennsylvania,1940,9896000
44000,Rhode Island,1940,719000
45000,South Carolina,1940,1902000
46000,South Dakota,1940,641000
47000,Tennessee,1940,2935000
48000,Texas,1940,6425000
49000,Utah,1940,552000
50000,Vermont,1940,363000
51000,Virginia,1940,2720000
53000,Washington,1940,1740000
54000,West Virginia,1940,1907000
55000,Wisconsin,1940,3143000
56000,Wyoming,1940,250000
91000,New England,1940,8449000
92000,Mideast,1940,30325000
93000,Great Lakes,1940,26725000
94000,Plains,1940,13498000
95000,Southeast,1940,30277000
96000,Southwest,1940,9780000
97000,Rocky Mountain,1940,3012000
98000,Far West,1940,9889000
Legend / Footnotes:,,1940,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1940,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1940,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1940,
,,1940,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1940,
0,United States,1941,133417000
1000,Alabama,1941,2902000
2000,Alaska ,1941,
4000,Arizona,1941,492000
5000,Arkansas,1941,1966000
6000,California,1941,7269000
8000,Colorado,1941,1124000
9000,Connecticut,1941,1751000
10000,Delaware,1941,276000
11000,District of Columbia,1941,764000
12000,Florida,1941,2028000
13000,Georgia,1941,3186000
15000,Hawaii ,1941,
16000,Idaho,1941,502000
17000,Illinois,1941,7995000
18000,Indiana,1941,3481000
19000,Iowa,1941,2491000
20000,Kansas,1941,1767000
21000,Kentucky,1941,2851000
22000,Louisiana,1941,2500000
23000,Maine,1941,852000
24000,Maryland,1941,1917000
25000,Massachusetts,1941,4400000
26000,Michigan,1941,5468000
27000,Minnesota,1941,2719000
28000,Mississippi,1941,2188000
29000,Missouri,1941,3815000
30000,Montana,1941,543000
31000,Nebraska,1941,1272000
32000,Nevada,1941,122000
33000,New Hampshire,1941,491000
34000,New Jersey,1941,4255000
35000,New Mexico,1941,505000
36000,New York,1941,13270000
37000,North Carolina,1941,3596000
38000,North Dakota,1941,615000
39000,Ohio,1941,6958000
40000,Oklahoma,1941,2262000
41000,Oregon,1941,1070000
42000,Pennsylvania,1941,9918000
44000,Rhode Island,1941,744000
45000,South Carolina,1941,1963000
46000,South Dakota,1941,613000
47000,Tennessee,1941,2976000
48000,Texas,1941,6599000
49000,Utah,1941,551000
50000,Vermont,1941,348000
51000,Virginia,1941,2975000
53000,Washington,1941,1793000
54000,West Virginia,1941,1885000
55000,Wisconsin,1941,3140000
